kecamatan_id;puskesmas_id;npsn;sekolah;jenjang;status;alamat_jalan;lintang;bujur
1;NULL;10204042;SMP SWASTA KARYA BHAKTI;SMP;S;Pematang Cengkering;3.3417;99.4664
1;NULL;10260917;SMA SWASTA CITRA MEDANG DERAS;SMA;S;JL. RAHARJA PASAR 1;3.3622;99.3632
1;NULL;69733772;SMP NEGERI 5 MEDANG DERAS;SMP;N;JL. MADARSAH;3.3355;99.3742
1;NULL;10204062;SMA NEGERI 1 MEDANG DERAS;SMA;N;JL. OK. M. YUNAN;3.4107;99.3301
1;NULL;69948251;SMK NEGERI 1 MEDANG DERAS;SMK;N;Jl. Jend. Sudirman;3.3661248;99.3645373
1;NULL;10260911;SMP NEGERI 4 MEDANG DERAS;SMP;N;Medang Deras;3.3463;99.3803
1;NULL;10204146;SMP NEGERI 1 MEDANG DERAS;SMP;N;Jln. Magung;3.3652;99.3463
1;NULL;10204100;SMP NEGERI 2 MEDANG DERAS;SMP;N;Jl. Acces Road Kuala Tanjung;3.3686;99.4158
1;NULL;10204040;SMP SWASTA KRISTEN PAGURAWAN;SMP;S;Jl. Sutan Syarif No.53 Pagurawan;3.2917;99.3747
1;NULL;10261164;SMP NEGERI 3 MEDANG DERAS;SMP;N;Jl. Jendral Sudirman Pangkalan Dodek;3.4247;99.3173
2;NULL;10261005;SMP NEGERI 2 SEI SUKA;SMP;N;Jln Protokol Desa Laut Tador;3.3194;99.3191
2;NULL;10260874;SMP NEGERI 4 SEI SUKA;SMP;N;Kuala Indah;3.345;99.4251
2;NULL;10204122;SMP SWASTA TIRTA SWITA;SMP;S;Desa Perkebunan Tanjung Kasau;3.1526;99.579
2;NULL;69948250;SMK NEGERI 1 SEI SUKA;SMK;N;Jl. Accesroad Inalum;3.3242;99.3593
2;NULL;10204132;SMP SWASTA REPELITA SIMODONG;SMP;S;DUSUN I SIMODONG;3.3361;99.3603
2;NULL;10204058;SMA NEGERI 1 SEI SUKA;SMA;N;JL. BERINGIN NO. 1 TG. GADING;3.3253;99.4633
2;NULL;69728771;SMP NEGERI 5 SEI SUKA;SMP;N;Jl. Sei Simujur Dsn II;3.2719;99.2489
2;NULL;10260909;SMP NEGERI 3 SEI SUKA;SMP;N;Dusun IX Desa Tanjung Prapat;3.3626;99.2921
2;NULL;10204238;SMA SWASTA ADVENT TANJUNG KASAU;SMA;S;TANJUNG KASAU;3.2938;99.4213
2;NULL;10204242;SMA SWASTA MITRA INALUM;SMA;S;JL.BERINGIN NO. 1 TG. GADING;3.309;99.3461
2;NULL;10204025;SMP SWASTA ADVENT TANJUNG KASAU;SMP;S;Jl. Sei Langgei;3.3552;99.4449
2;NULL;10204128;SMP SWASTA TAMAN SISWA SEI SUKA;SMP;S;Jln Bandar Tinggi;3.2825;99.2777
